side,layer,token_set,seed,feature,train_auc_toxic_vs_reference,best_cos_seed1337,best_cos_seed2024,n_seeds_matched_at_0.5,n_seeds_matched_at_0.6,n_seeds_matched_at_0.7,n_seeds_matched_at_0.8,replicated,status,best_cos_seed42
encoder,4,all,2024,1622,0.4469942037352232,0.2518504858016968,,1,1,1,1,False,seed_specific,0.2597460150718689
encoder,4,all,2024,2650,0.5523778952292793,0.38602936267852783,,1,1,1,1,False,seed_specific,0.2951653003692627
encoder,4,all,2024,367,0.5523621354939101,0.309329628944397,,1,1,1,1,False,seed_specific,0.4150368571281433
encoder,4,all,2024,2890,0.5520407198383549,0.3505333364009857,,1,1,1,1,False,seed_specific,0.2834821939468384
encoder,4,all,2024,1463,0.44852372752578795,0.27211564779281616,,1,1,1,1,False,seed_specific,0.2828560471534729
encoder,4,all,2024,1341,0.4492988576680237,0.2784004211425781,,1,1,1,1,False,seed_specific,0.25179731845855713
encoder,4,all,2024,2655,0.45089266458969945,0.4571096897125244,,2,1,1,1,False,seed_specific,0.5316953659057617
encoder,4,all,2024,1558,0.4515255423837346,0.25181639194488525,,1,1,1,1,False,seed_specific,0.24398477375507355
encoder,4,all,2024,155,0.5477698315533127,0.3239191472530365,,1,1,1,1,False,seed_specific,0.29168999195098877
encoder,4,all,2024,1556,0.5469714765379013,0.3289397954940796,,1,1,1,1,False,seed_specific,0.37207967042922974
encoder,4,all,2024,704,0.4532338147517758,0.23123383522033691,,1,1,1,1,False,seed_specific,0.2599526047706604
encoder,4,all,2024,2006,0.4532367178609228,0.25187256932258606,,1,1,1,1,False,seed_specific,0.2336416095495224
encoder,4,all,2024,1146,0.5462440403316511,0.3563076853752136,,1,1,1,1,False,seed_specific,0.3275284767150879
encoder,4,all,2024,1350,0.5456791782376302,0.251002699136734,,1,1,1,1,False,seed_specific,0.27766919136047363
encoder,4,all,2024,761,0.4547077647386705,0.2876790165901184,,1,1,1,1,False,seed_specific,0.3948651850223541
encoder,4,all,2024,1648,0.4547459198874589,0.2886226177215576,,1,1,1,1,False,seed_specific,0.3469589948654175
encoder,4,all,2024,2546,0.4552174677588993,0.26487743854522705,,1,1,1,1,False,seed_specific,0.3141944408416748
encoder,4,all,2024,570,0.45522742127597454,0.45958060026168823,,1,1,1,1,False,seed_specific,0.38284042477607727
encoder,4,all,2024,2029,0.4562289939316724,0.32523295283317566,,1,1,1,1,False,seed_specific,0.26590895652770996
encoder,4,all,2024,2310,0.5430597443273247,0.18814435601234436,,1,1,1,1,False,seed_specific,0.14860787987709045
encoder,4,all,2024,1729,0.45701158921171464,0.4186062514781952,,1,1,1,1,False,seed_specific,0.3521973192691803
encoder,4,all,2024,2660,0.4575864048228108,0.29334011673927307,,1,1,1,1,False,seed_specific,0.3712131977081299
encoder,4,all,2024,27,0.45777966894602207,0.3750907778739929,,1,1,1,1,False,seed_specific,0.35665130615234375
encoder,4,all,2024,2988,0.4580222859247315,0.2683424949645996,,1,1,1,1,False,seed_specific,0.27826762199401855
encoder,4,all,2024,2386,0.4581023287912117,0.22343125939369202,,1,1,1,1,False,seed_specific,0.24031993746757507
encoder,4,all,2024,2215,0.45825826722539076,0.27636992931365967,,1,1,1,1,False,seed_specific,0.3007395267486572
encoder,4,content,42,646,0.3639685999714666,0.4059816598892212,0.482312947511673,1,1,1,1,False,seed_specific,
encoder,4,content,42,1656,0.42296890189481784,0.36364617943763733,0.2954581379890442,1,1,1,1,False,seed_specific,
encoder,4,content,42,915,0.5726026124664483,0.38901591300964355,0.36716631054878235,1,1,1,1,False,seed_specific,
encoder,4,content,42,454,0.4280725677751567,0.36226776242256165,0.3235475420951843,1,1,1,1,False,seed_specific,
